Geneid,AK079M,AK083M,AK095M,AK096M
ENSG00000228696,87.35,86.1,108.3,141.31
ENSG00000176681,165.61,139.99,196.93,273.2
ENSG00000238083,256.74,260.24,359.37,466.49
ENSG00000185829,76.69,74.43,106.6,133.01
ENSG00000073969,81.83,825.7,871.52,169.5
ENSG00000108379,148,107,218,273
ENSG00000158955,0,0,0,0
ENSG00000108433,141.75,316.25,308,310.5
ENSG00000262633,92.25,224.67,218.79,216.7
ENSG00000179673,9,6,4,11
ENSG00000004897,519.73,3267.72,3587.24,1014.32
ENSG00000198336,0,1,0,0
ENSG00000259207,4.5,34.5,58.5,9
ENSG00000259753,4,37.5,55,12
ENSG00000178852,30.5,70,77.5,35
ENSG00000141279,858.37,3644.75,4538.42,1351.15
ENSG00000108424,2498.5,11805.5,12756.33,4365
ENSG00000198933,161,206,394,451
ENSG00000073861,6,0,4,2
ENSG00000006025,357,431,719,806
ENSG00000159111,362,1160,1566,937
ENSG00000141294,84,91,138,108
ENSG00000141295,195,735,1051,472
ENSG00000189120,182,157,227,423
ENSG00000167182,375,933,1069,675
ENSG00000108439,235,1037,1591.5,485
ENSG00000167183,0,2,10,1
ENSG00000108465,996.5,2931.5,4235.67,1834
ENSG00000005243,5,36,63,16
ENSG00000082641,1660,5550.5,7231,3146
ENSG00000108468,133,864.5,1023.25,338.5
ENSG00000002919,264,503,633,625
ENSG00000141293,0,0,0,0
ENSG00000120094,0,0.25,0.25,0
ENSG00000173917,35,8,28,35
ENSG00000120093,112,159,239.75,234
ENSG00000182742,6,7,8.5,24
ENSG00000120075,152.75,81.5,117.83,201.08
ENSG00000108511,192.25,118,233.83,297.08
ENSG00000260027,136.17,218.5,276.5,263.5
ENSG00000120068,64,114,165,135
ENSG00000170689,102,119,137,172
ENSG00000159182,0,0,0,0
ENSG00000229637,0,0,0,0
ENSG00000159184,7,70,110,51
ENSG00000170703,16,46,89,42
ENSG00000136436,160,1307,1949,346
ENSG00000159199,561,3021.5,3456.75,1394.67
ENSG00000159202,1044,2551,3445,2024
ENSG00000159210,358,2168.5,2978.5,806
ENSG00000159224,18,25,53,36
ENSG00000159217,1123.5,2904,3701,2362
ENSG00000167080,11,8,24,8
ENSG00000167083,0,0,0,0
ENSG00000108798,0,0,2,1
ENSG00000173868,7,8,19,11
ENSG00000198740,97,356,425,240
ENSG00000167085,1419.33,6601.14,8119.24,2878.42
ENSG00000064300,7,3,13,3
ENSG00000182575,1,0,2,0
ENSG00000121067,207,680,863,435
ENSG00000121073,407,1530,2047.33,614
ENSG00000121104,19,32,50,19
ENSG00000136504,379,1035.58,1253,713.5
ENSG00000176358,0,0,0,0
ENSG00000108813,34,68,82.5,39
ENSG00000064195,5,0,4,1
ENSG00000005884,8368,20969,32770.83,13401.5
ENSG00000005882,114,286.5,420,176
ENSG00000167100,8,2,11,2
ENSG00000108819,1285,2697,3828,2835.83
ENSG00000108823,0,2,5,8
ENSG00000108821,206,556,1361.67,253
ENSG00000167105,24,121.5,202,105
ENSG00000015532,390,1396,2219.5,884
ENSG00000108826,223.5,657.33,709.5,435
ENSG00000154920,150,455,507,214
ENSG00000108829,1413,5832,7203.5,3043
ENSG00000167107,17,212,368,24
ENSG00000136457,0,2,0,0
ENSG00000136444,434,848,1083.5,1014
ENSG00000136449,32,39,40,33
ENSG00000049283,2,6,4,4.25
ENSG00000006282,1552,3595,5398.5,2650.25
ENSG00000006283,87,656,1210,216
ENSG00000108846,1512,12574.5,21848,3124.5
ENSG00000154945,837,1459,1433,1368
ENSG00000108848,1633,2024.33,1947,2173
ENSG00000173714,4,0,2,0
ENSG00000141232,828,2301,3489,1792
ENSG00000008294,1002,5103.5,6690.5,1334
ENSG00000239672,715.18,2775.48,3190.77,1382.95
ENSG00000011052,1323.62,5872.69,7572.88,3013.66
ENSG00000243678,908.87,4257.86,5649.46,2187.66
ENSG00000011258,178,319,409,323
ENSG00000011260,651,2168,2479.5,1359
ENSG00000154975,0,0,0,0
ENSG00000227011,0,0,0,0
ENSG00000141200,0,0,0,0
ENSG00000141198,154,1144,1187.33,205
ENSG00000166260,156,887,1088,295.5
ENSG00000166263,52,337,316,116
ENSG00000108924,12,10,16,8
ENSG00000108960,57,463,489,87
ENSG00000166292,0,0,0,2
ENSG00000141179,88,218,427,151
ENSG00000153930,0,0,0,0
ENSG00000183691,43,20,28,45
ENSG00000214226,3,2,13,4
ENSG00000153933,99,174,276,211
ENSG00000121060,1059,2305,3234,1340
ENSG00000121058,406.5,667.83,675,575
ENSG00000121064,30,444,593,67.67
ENSG00000121057,1448,2739,4104.5,2833.5
ENSG00000153944,115,666,1013.5,252
ENSG00000166329,0,0,0,0
ENSG00000181610,492,1239,1450.5,933
ENSG00000180891,250,1383,2143,802.5
ENSG00000136451,572.75,1310,1281.5,1064
ENSG00000266086,163,198,193,187
ENSG00000136450,3648.5,6897.5,7668.17,5942.5
ENSG00000264364,74,160,170,131
ENSG00000141194,0,0,0,0
ENSG00000255713,0,0,0,0
ENSG00000121053,1,0,2,0
ENSG00000011143,158,241,400,269
ENSG00000167419,0,0,0,0
ENSG00000005381,0,0,0,2
ENSG00000005379,2,0,0,3
ENSG00000213246,312,1143,1370,547.5
ENSG00000108375,11,31,127,63
ENSG00000176160,0,0,0,0
ENSG00000108389,204,1006,1282,393
ENSG00000108387,1,5,21,4
ENSG00000181013,2,0,0,2
ENSG00000121101,34,2,4,16
ENSG00000108384,121,604,546,170
ENSG00000175175,1,7,4,1
ENSG00000108395,367,1263,1479,657
ENSG00000182628,84,424.6,529.75,179.33
ENSG00000068489,139,1689.75,1777.25,327.58
ENSG00000265303,46.75,250.5,298.25,72.46
ENSG00000167447,540.25,1285.25,1680.5,963.96
ENSG00000153982,0,20,16,5
ENSG00000175155,10,12,48,33
ENSG00000108406,241,1917.67,2371,400.33
ENSG00000141367,2133,21995.33,24961.5,3679.5
ENSG00000141378,803,1094,1210,1368
ENSG00000062716,3521.5,3914,5015,3331
ENSG00000108423,96,300,341.5,244
ENSG00000108443,336.67,1203.08,1219.5,473.33
ENSG00000267318,16,70.5,56.25,22
ENSG00000189050,78.5,311.67,338.5,141
ENSG00000068097,592,1388,1491,766
ENSG00000167434,2,0,2,0
ENSG00000170832,451.58,1931.6,2271.9,819.12
ENSG00000141371,2,0,2,1
ENSG00000062725,293,617,777.5,287.67
ENSG00000170836,456,827,944,883
ENSG00000141376,29,556,686,118
ENSG00000121068,457,270,431,711
ENSG00000187013,3,2,8.5,7
ENSG00000121075,2,2,2,0
ENSG00000253506,1.67,12.95,9.25,5
ENSG00000136492,48,554,570,125
ENSG00000108506,503,1689,2000.5,757
ENSG00000108510,2018,4437,5509.5,3293
ENSG00000270033,3.17,12.5,9.17,5.83
ENSG00000172421,1,0,0,0
ENSG00000087995,320.47,939.42,1009.92,580.75
ENSG00000146872,424.6,890.17,1108.17,709
ENSG00000011028,166,3311,4306.17,529
ENSG00000173838,0,8,22,4
ENSG00000170921,562,1334.5,2138,1074
ENSG00000008283,80,341,579,268
ENSG00000159640,8.5,4,24,9
ENSG00000264813,0.5,3,8,1
ENSG00000173826,0,0,0,0
ENSG00000136485,355,1054,1499,677
ENSG00000136463,346,962,1147,696
ENSG00000198909,151,519,782,375
ENSG00000136490,26,53,108.5,56
ENSG00000266173,106,496,707,301
ENSG00000125695,29.5,159,165.33,42.5
ENSG00000108588,394.5,2392.25,2605.17,781.5
ENSG00000198231,1682,3513,4037.5,2644
ENSG00000108592,704,2238,2687.5,1259
ENSG00000087191,806.5,4524.17,5113.83,1665
ENSG00000108604,314,1586,2054,810
ENSG00000213218,1,0,0.5,0.5
ENSG00000136487,0,0,0,0
ENSG00000136488,1,0,0.5,0.5
ENSG00000204414,1,0,0,0
ENSG00000259384,0,0,0,0
ENSG00000007312,0,2,1,0
ENSG00000007314,5,4,3.25,2
ENSG00000224383,7,16,16,10
ENSG00000108622,0,0,0,0
ENSG00000178607,175,268,344.75,283
ENSG00000136478,168,890.5,1201,556
ENSG00000261371,0,4,0,2
ENSG00000271605,0,2,9,0
ENSG00000256525,507,394,479,802
ENSG00000108654,9894.71,15339.5,17512.71,12228
ENSG00000258890,763,950,1130.5,985
ENSG00000108854,1575.5,1851.17,2336,1986.5
ENSG00000176809,272.51,97.88,165.5,360.7
ENSG00000120063,934,1717,2132,1702
ENSG00000108370,1,6,10,2
ENSG00000168646,26,109,277,68
ENSG00000266076,0,9,8,2
ENSG00000154240,82,420,402,139
ENSG00000091583,0,73,145,5
ENSG00000154229,313,1946.5,2646,412.33
ENSG00000075429,0,0.33,0,0
ENSG00000075461,17,281.67,418,65
ENSG00000108878,0,4,2,0
ENSG00000198265,435,1248,1601,753
ENSG00000197170,690,3153.5,3332.5,1143
ENSG00000154217,31,429,621,135
ENSG00000130935,901,3449,3310.33,1596.5
ENSG00000171634,1389.42,4490.25,4881,2282.5
ENSG00000186665,94,239,226.5,204
ENSG00000182481,2470.58,13349.45,15093.09,5049.28
ENSG00000196704,393,1818.33,1724.5,518.33
ENSG00000141337,0,11,11,18
ENSG00000108932,13,10,18,5
ENSG00000070540,9,97,186,42
ENSG00000108946,924.75,4374,5405.33,1344
ENSG00000108950,1,0,0,3
ENSG00000141338,0,6,2,0
ENSG00000154258,0,0,0,0
ENSG00000154262,0,0,0,0
ENSG00000154263,8,4,3.5,2
ENSG00000154265,62.5,151.5,190.5,69
ENSG00000108984,5,240,283,24
ENSG00000153822,0,0,1,2
ENSG00000123700,17,8,0,1
ENSG00000125398,1276,465.5,879,1631
ENSG00000133195,57,339,478,106
ENSG00000180616,0,0,2,0
ENSG00000166685,535,1034,1231,662
ENSG00000133193,147,387.25,545,310
ENSG00000141219,235,573,638,344
ENSG00000187959,1,4,0,3
ENSG00000179604,394,1291,2420,1590
ENSG00000069188,10,117,147,23
ENSG00000172809,1779.5,4128.67,4321.75,3043.5
ENSG00000141540,19,87,86,35
ENSG00000171595,0,0,0,0
ENSG00000196169,3,0,0,2
ENSG00000204347,0,2,0,0
ENSG00000257008,0,0.5,0,0
ENSG00000170412,444,1034,1674.93,651
ENSG00000167851,1,0,0,0
ENSG00000178789,0,0,0,0
ENSG00000167850,0,1,3,0
ENSG00000204345,0,0,0,0
ENSG00000182352,0,0,0,0
ENSG00000186407,0,0,0,0
ENSG00000172794,0,21,40,19
ENSG00000186074,0,0,0,2
ENSG00000109062,142,1384,2366.5,557
ENSG00000109065,521,419,572,959
ENSG00000109066,58,430,561,149
ENSG00000161509,17,33.5,55,25
ENSG00000161513,266,2825,3428.33,535.67
ENSG00000172782,0,0,0,0
ENSG00000182040,0,2,6,4.5
ENSG00000183034,3,0,0,0
ENSG00000182938,0,0,0,0
ENSG00000167861,103,577,822.5,245
ENSG00000109089,526.5,1772.5,2921.5,2093
ENSG00000167862,188.5,726.5,858.5,386.5
ENSG00000180901,153,277,368,312
ENSG00000167863,794.5,3545.58,4347.67,1793.42
ENSG00000170190,595,1144,1721,1292
ENSG00000125449,149,217,293,346
ENSG00000125458,915,1215,1895,1990
ENSG00000189159,1994.33,5181,6020.33,4118
ENSG00000188612,499.42,1954.67,2327.07,1043.86
ENSG00000125450,654.5,2507.5,3042.67,1317.5
ENSG00000125447,905,1331,1993,1684.5
ENSG00000125445,399,1593,1941,797
ENSG00000125457,210,620,861.75,479
ENSG00000125454,302,416,555,593
ENSG00000177885,327,1842,2237,907
ENSG00000177728,557,2361,3749,1234.5
ENSG00000177303,431,884,1536,1152
ENSG00000182173,387,884,1418,1100
ENSG00000073350,167,1542,2846,762.5
ENSG00000108469,564,931,1492.5,1201
ENSG00000204323,9,2,7,30
ENSG00000259120,20,34,45,41
ENSG00000161526,890.5,1522,2181,1422
ENSG00000132470,542,4665,10966.17,2352
ENSG00000108479,229,1265,1891.5,694
ENSG00000132475,3729.6,4207.25,6192,5554.52
ENSG00000132478,295,846,1189.11,463
ENSG00000092929,180,338,567,371
ENSG00000132471,293,1554,1954.5,666
ENSG00000132481,2930,4059,5668,6495
ENSG00000141569,782.5,1200,2031,2116.17
ENSG00000204316,895.67,2831,3960.08,1809.5
ENSG00000267426,12.5,26,57,42.75
ENSG00000188878,342.5,635.5,1128,841.25
ENSG00000161533,196,675,805,379
ENSG00000257949,46,146,208,105
ENSG00000250506,47,64,74.5,69.5
ENSG00000261408,47,64,74.5,69.5
ENSG00000167880,921,2322,3198,1961
ENSG00000167881,744.25,2736.5,3138.5,1296.75
ENSG00000182687,6,25,41,8
ENSG00000186919,5,3,7.5,4
ENSG00000182473,534,1907,2664,895
ENSG00000129654,13,15,7,13
ENSG00000141576,10,298,430,33
ENSG00000185262,284,731,1210,660
ENSG00000129646,94,101.5,237.5,167.5
ENSG00000161542,166,876.5,1277.5,452.5
ENSG00000176170,402,258,596,925
ENSG00000175931,1241,3438,3699,2548
ENSG00000129673,0,1,0,3
ENSG00000129667,665,1836,2863,1292
ENSG00000161544,0,16,22,4
ENSG00000214140,0,0,0,0
ENSG00000070731,0,6,7,2
ENSG00000070526,4,0,7,0
ENSG00000182534,59.5,231.33,275.58,102.83
ENSG00000070495,699,1519,1862,1120
ENSG00000181038,147,361.75,394.2,268.5
ENSG00000267168,71,153.75,198.8,134
ENSG00000161547,3515.33,5520,7421.33,5489.83
ENSG00000092931,62,239.5,307.5,134.5
ENSG00000167889,247,1374,2662.5,713
ENSG00000129657,581.5,1688.5,2227.5,808
ENSG00000184640,763,10126.26,14728.88,2518.67
ENSG00000278938,0.47,0,0.2,0.69
ENSG00000078687,151,299,565,237
ENSG00000141524,214,320.5,633,490
ENSG00000167895,11,0,12,8
ENSG00000187997,2,0,0,2
ENSG00000108639,603.5,2545.17,3642,1253
ENSG00000167900,259,3084.5,4299,748
ENSG00000183077,171,402.5,480,325
ENSG00000089685,286,2505,2860,881
ENSG00000204278,1,0,0,1
ENSG00000184557,4293,926,1055,4294.5
ENSG00000087157,425,776.5,1173.58,936.73
ENSG00000187775,224,152,185,134
ENSG00000108669,276,669,803.5,351
ENSG00000055483,3503,3264,3941.5,4980
ENSG00000035862,64.5,1219.5,1997.5,225
ENSG00000178404,67.5,191.5,295.5,113
ENSG00000108679,269,3081,4675.75,673
ENSG00000171302,622,2294,3122,1328
ENSG00000173918,107,218,652,203
ENSG00000167280,497,670,1191,788
ENSG00000167281,2,79,70,6
ENSG00000182156,0,0,0,0
ENSG00000173894,198,642,1142,605
ENSG00000141570,346,520,764,747
ENSG00000141582,1534,1609,2090,2661
ENSG00000167291,111,764,1262,404
ENSG00000141519,154,261,431.5,309
ENSG00000171298,211,2578.5,4114.5,588
ENSG00000141543,833.5,3728.17,4227,1855
ENSG00000141527,6,0,5,0
ENSG00000181523,334,496,692,525
ENSG00000181045,131,397,577,323.5
ENSG00000173821,3331,10026,14669.5,5823
ENSG00000173818,419.67,620,1031.5,770.83
ENSG00000171246,1202,1286,4274,2177
ENSG00000141564,442,1886,2675,802
ENSG00000176108,261,299.5,461,439
ENSG00000175866,977,1188.5,1555.5,1682
ENSG00000181409,38,21,41,34.5
ENSG00000141577,97,508,750,254.33
ENSG00000167302,839.5,1071.5,1857,1528.5
ENSG00000224877,260.5,602,613.5,707
ENSG00000157637,702,4184,5751.5,1746
ENSG00000185332,0,0,6,3
ENSG00000266074,897,3452.33,5480.5,2225.5
ENSG00000184009,17971.49,69614,87026.84,30622.56
ENSG00000186765,42,46,84,66
ENSG00000185504,1082,1387,2401.5,1914
ENSG00000182446,821.5,3743.7,4553,1803
ENSG00000182612,8.5,32.5,67,51
ENSG00000185527,31.5,3,8,20
ENSG00000204237,631.5,527,818,1472.5
ENSG00000185298,488,558,627,807
ENSG00000214087,165.5,344.5,434.5,309.83
ENSG00000185359,3708.5,4973,7375.25,6150.83
ENSG00000262814,665.5,2287.25,2915.5,1664.5
ENSG00000262660,655.5,2446.5,3121,1682
ENSG00000183048,205,938.75,1388.5,465.5
ENSG00000215644,6,0,7,3
ENSG00000225663,249,866,1251,514.25
ENSG00000182676,2,0,1,6
ENSG00000185624,973,13096.83,18700.5,2436
ENSG00000141522,6165.33,13660.5,17732.5,11915.92
ENSG00000183684,715,2829.33,3093.33,1516
ENSG00000141552,271,1037.83,1562.83,778.5
ENSG00000183979,25,6,14,82
ENSG00000185813,126,286,361,203
ENSG00000187531,674.5,873,1221,1299
ENSG00000197063,700.5,826.5,970,1081.5
ENSG00000183010,284,1772,2121,590
ENSG00000185105,0,0,0,0
ENSG00000185269,9,22,23,12
ENSG00000169696,298.67,1183,1800,681
ENSG00000169689,207,912.33,1281,686
ENSG00000169683,150,1098,1409,462
ENSG00000169750,139,659,844,394
ENSG00000169738,260,1428,2344,744
ENSG00000169733,161,335.5,495,224
ENSG00000169727,962,4275,6057.17,1983
ENSG00000169718,1469,2701,3702.5,2993
ENSG00000169710,10754.5,23480,32821.5,19417.17
ENSG00000176155,372,694.5,992,715.2
ENSG00000141526,169,928,1265,438
ENSG00000141551,2547.83,3508,4750,4799.03
ENSG00000173762,2,0,0,0
ENSG00000141574,0,0,0,2
ENSG00000182459,0,6,0,4
ENSG00000181408,0,0,0,0
ENSG00000181396,127,479,613.67,237
ENSG00000169660,176,501,810,431
ENSG00000178927,210,1095.49,1630.99,661.16
ENSG00000141562,182,1259.67,1624.5,352
ENSG00000141568,659,2183.6,3289,1938
ENSG00000141580,641.5,1576,1882.5,1103
ENSG00000141542,50,322,601,227
ENSG00000141560,173,1005,1474,426
ENSG00000167363,37,232,327,113
ENSG00000141556,441.5,4578,6321.5,1142
ENSG00000141579,0,0,0,0
ENSG00000175711,37.5,142,229,121
ENSG00000176845,533,234,598,1341.5
ENSG00000273496,5,0.1,0,1.25
ENSG00000276836,0,0,0,0
ENSG00000277111,0,0,0,0
ENSG00000274332,0,0,0,0
ENSG00000275748,0,0,0,0
ENSG00000278742,0,0,0,0
ENSG00000275867,0,0,0,0
ENSG00000276155,0,0,0,0
ENSG00000278194,0,0,0,0
ENSG00000278232,0,0,0,0
ENSG00000275621,0,0,0,0
ENSG00000275949,0,0,0,0
ENSG00000278174,0,0,0,0
ENSG00000277626,0,0,0,0
ENSG00000277730,0,0,0,0
ENSG00000272670,0,0,0,0
ENSG00000262334,0,0,0,0
ENSG00000263267,0,0,0,0
ENSG00000263186,0,0,0,0
ENSG00000263341,0,0,0,0
ENSG00000261986,0,0,0,0
ENSG00000263012,0,0,0,0
ENSG00000262045,0,0,0,0
ENSG00000262748,0,0,0,0
ENSG00000262993,0,0,0,0
ENSG00000263022,0,0,0,0
ENSG00000263243,0,0,0,0
ENSG00000263057,0,0,0,0
ENSG00000263309,0,0,0,0
ENSG00000262164,0,0,0,0
ENSG00000262845,0,0,0,0
ENSG00000263101,0,0,0,0
ENSG00000263296,0,0,0,0
ENSG00000262068,0,0,0,0
ENSG00000261862,0,0,0,0
ENSG00000263242,0,0,0,0
ENSG00000262347,0,0,0,0
ENSG00000262808,0,0,0,0
ENSG00000261852,0,0,0,0
ENSG00000262731,0,0,0,0
ENSG00000262862,0,0,0,0
ENSG00000263091,0,0,0,0
ENSG00000266286,0,0,0,0
ENSG00000261968,0,0,0,0
ENSG00000263229,0,0,0,0
ENSG00000262520,0,0,0,0
ENSG00000262121,0,0,0,0
ENSG00000263236,0,0,0,0
ENSG00000263090,0,0,0,0
ENSG00000262749,0,0,0,0
ENSG00000262512,0,0,0,0
ENSG00000267728,0,0,0,0
ENSG00000267635,0,0,0,0
ENSG00000262218,0,0,0,0
ENSG00000262573,0,0,0,0
ENSG00000262594,0,0,0,0
ENSG00000262896,0,0,0,0
ENSG00000263263,0,0,0,0
ENSG00000262221,0,0,0,0
ENSG00000262542,0,0,0,0
ENSG00000278843,0,0,0,0
ENSG00000276833,0,0,0,0
ENSG00000276986,0,0,0,0
ENSG00000274233,0,0,0,0
ENSG00000276432,0,0,0,0
ENSG00000277042,0,0,0,0
ENSG00000275095,0,0,0,0
ENSG00000277236,0,0,0,0
ENSG00000275528,0,0,0,0
ENSG00000276114,0,0,0,0
ENSG00000278167,0,0,0,0
ENSG00000274221,0,0,0,0
ENSG00000275824,0,0,0,0
ENSG00000274939,0,0,0,0
ENSG00000277336,0,0,0,0
ENSG00000276125,0,0,0,0
ENSG00000277974,0,0,0,0
ENSG00000275760,0,0,0,0
ENSG00000278574,0,0,0,0
ENSG00000278372,0,0,0,0
ENSG00000275600,0,0,0,0
ENSG00000275099,0,0,0,0
ENSG00000275397,0,0,0,0
ENSG00000274853,0,0,0,0
ENSG00000274577,0,0,0,0
ENSG00000276072,0,0,0,0
ENSG00000275176,0,0,0,0
ENSG00000278145,0,0,0,0
ENSG00000277104,0,0,0,0
ENSG00000275932,0,0,0,0
ENSG00000274047,0,0,0,0
ENSG00000277594,0,0,0,0
ENSG00000276194,0,0,0,0
ENSG00000275153,0,0,0,0
ENSG00000276349,0,0,0,0
ENSG00000277936,0,0,0,0
ENSG00000276469,0,0,0,0
ENSG00000274229,0,0,0,0
ENSG00000273780,0,0,0,0
ENSG00000273608,0,0,0,0
ENSG00000277303,0,0,0,0
ENSG00000275851,0,0,0,0
ENSG00000277005,0,0,0,0
ENSG00000274768,0,0,0,0
ENSG00000278644,0,0,0,0
ENSG00000275903,0,0,0,0
ENSG00000277292,0,0,0,0
ENSG00000276761,0,0,0,0
ENSG00000276913,0,0,0,0
ENSG00000275193,0,0,0,0
ENSG00000278759,0,0,0,0
ENSG00000277033,0,0,0,0
ENSG00000275031,0,0,0,0
ENSG00000278550,0,0,0,0
ENSG00000276336,0,0,0,0
ENSG00000274145,0,0,0,0
ENSG00000274442,0,0,0,0
ENSG00000275246,0,0,0,0
ENSG00000276021,0,0,0,0
ENSG00000276838,0,0,0,0
ENSG00000277649,0,0,0,0
ENSG00000278741,0,0,0,0
ENSG00000274474,0,0,0,0
ENSG00000275886,0,0,0,0
ENSG00000276907,0,0,0,0
ENSG00000276358,0,0,0,0
ENSG00000276191,0,0,0,0
ENSG00000277106,0,0,0,0
ENSG00000277956,0,0,0,0
ENSG00000278458,0,0,0,0
ENSG00000276276,0,0,0,0
ENSG00000277221,0,0,0,0
ENSG00000276262,0,0,0,0
ENSG00000277641,0,0,0,0
ENSG00000276799,0,0,0,0
ENSG00000278006,0,0,0,0
ENSG00000278567,0,0,0,0
ENSG00000277943,0,0,0,0
ENSG00000277796,0,0,0,0
ENSG00000275313,0,0,0,0
ENSG00000278632,0,0,0,0
ENSG00000277768,0,0,0,0
ENSG00000275861,0,0,0,0
ENSG00000278501,0,0,0,0
ENSG00000276016,0,0,0,0
ENSG00000173213,0.29,2.68,8.29,3.96
ENSG00000101557,294,1762,1886,567.67
ENSG00000079134,167,729,838,253
ENSG00000158270,0,0,3,0
ENSG00000177143,0,0,0,0
ENSG00000079101,0,0,0,0
ENSG00000176890,200,2487.67,2737,560
ENSG00000132199,147,568.71,763,219
ENSG00000176105,134,977.5,1095,246.83
ENSG00000141433,0,0,0,0
ENSG00000101574,43,176,164,78
ENSG00000080986,66,597,618.83,178
ENSG00000101596,581,2090,2220.5,945
ENSG00000132205,55,34,60,76
ENSG00000101577,130,484,844,276
ENSG00000101605,0,9,6,7
ENSG00000101608,401.03,1634.62,2093.67,561.25
ENSG00000118680,601.95,2616.6,3462.33,1077
ENSG00000177426,769,1325.5,1849.5,1537
ENSG00000170579,0.33,0,0,2
ENSG00000231824,0,0,0,0
ENSG00000198081,133,299,368.17,342
ENSG00000082397,0,0,0,0
ENSG00000206432,0,3,0,0
ENSG00000154655,0,0,0,0
ENSG00000088756,0,2,1,0
ENSG00000101680,0,4,6,0
ENSG00000206422,0,0,0,0
ENSG00000173482,298,2051.5,2461.5,536
ENSG00000206418,141,469,635.5,276
ENSG00000168502,3703,6796.8,11209.5,7349
ENSG00000178127,342.5,1799.33,2298,691.5
ENSG00000101745,368,754,745,463.5
ENSG00000128791,60,349,562,112
ENSG00000017797,254.33,1428,1605,513
ENSG00000154845,805.5,2379,2665.5,1208.5
ENSG00000168461,58,329,550,94
ENSG00000168454,0,4,1,0
ENSG00000101558,621.5,2377.5,3087.5,1180
ENSG00000154856,0,0,2,0
ENSG00000134265,92,346,425,162
ENSG00000154864,2,33,67.25,5
ENSG00000236396,2.33,0,0,0
ENSG00000141404,23,127,132,44
ENSG00000255112,757,1343,1725,1259
ENSG00000154889,46.5,190.5,282.67,70.5
ENSG00000141401,54,607,795,194
ENSG00000181626,0,0,0,0
ENSG00000176194,0,0,0,0
ENSG00000176014,1186.58,2818.33,4145,2203.35
ENSG00000141385,422,1913.5,2210,814
ENSG00000141391,44,59,77,98
ENSG00000134278,140,685,747,300
ENSG00000128789,145,688,808,253
ENSG00000101624,133,309,335,204
ENSG00000175354,93,475.5,493.17,184
ENSG00000085415,307,1225.17,1352.5,484
ENSG00000101639,318,1458,1846.5,750.5
ENSG00000168675,0,0,10,8
ENSG00000177150,143,256,312,274
ENSG00000101654,256,671,824,436
ENSG00000176136,0,0,0,0
ENSG00000185231,0,0,0,0
ENSG00000175322,20,27,34,30.5
ENSG00000183206,0,0,0,0
ENSG00000180777,0,0,0,0
ENSG00000278923,0,0,0,0
ENSG00000067900,354,1470,1787.5,574.5
ENSG00000141449,14,98,226,41
ENSG00000141446,256,410,465,356
ENSG00000167088,322.5,953.5,1060.33,627.83
ENSG00000158201,51,322,417,79
ENSG00000101752,238,857,1024,411
ENSG00000141448,320,110,287,561
ENSG00000212710,3,4.4,6.33,1
ENSG00000101773,205,1264,1384,304
ENSG00000134508,176.5,618,867,296
ENSG00000134490,36,126,156,56
ENSG00000101782,465,560,870,668
ENSG00000141452,152,436,577,226
ENSG00000141458,758,3018,3928,844.5
ENSG00000154065,38,149,187,60
ENSG00000053747,252,1703,1985,398
ENSG00000168234,46,239.5,406,78
ENSG00000154040,87,328,235,115
ENSG00000141447,68,324,443,118.5
ENSG00000154059,107,286.5,267,111
ENSG00000134489,0,0,0,0
ENSG00000198795,0,0,0,0
ENSG00000141380,274.5,979,1335,411
ENSG00000154611,0,0,0,0
ENSG00000141384,287,414.5,495,411
ENSG00000134504,143,479.75,537,292
ENSG00000171885,0,0,0,0
ENSG00000154080,0,0,0,0
ENSG00000170558,370,1582,3501.67,737
ENSG00000134762,1,32,13,2
ENSG00000134755,34,49,58,19
ENSG00000134765,0,0,0,0
ENSG00000134760,0,0,0,0
ENSG00000175065,0,0,0,0
ENSG00000134757,0,2,0,0
ENSG00000046604,431,3771.5,4361,703
ENSG00000118271,0,0,0,0
ENSG00000118276,48,154,170,72
ENSG00000141437,14.53,23,15.83,14.08
ENSG00000153339,260,968,1072,340
ENSG00000101695,2,8,11,4
ENSG00000134758,129,213.5,288,285
ENSG00000141441,53,147,238,131
ENSG00000141434,4,0,0,0
ENSG00000197705,0,0,0,0
ENSG00000166960,0,0,0,0
ENSG00000141431,0,0,0,0
ENSG00000101746,0,0,0,0
ENSG00000134769,0,0,0,0
ENSG00000166974,54,647,667,119
ENSG00000186812,95,149,178,181
ENSG00000186814,6,13,31,11
ENSG00000172466,414,587,680,647.5
ENSG00000186496,17,14,27,26
ENSG00000267140,14.5,34.25,41,32.75
ENSG00000153391,59.5,163.75,221,155.25
ENSG00000141429,190,2136.5,4100,636
ENSG00000141428,199.5,237.5,275,299
ENSG00000141425,223,657,730,363.25
ENSG00000141424,226,1513,1689.5,510
ENSG00000134759,254,954,1270.33,409
ENSG00000075643,21,267,270,54
ENSG00000134775,34,188,231,58
ENSG00000134779,105,1456,1673.5,240
ENSG00000150477,11,39,58,26
ENSG00000101489,0,0,0,0
ENSG00000078142,172,590,789,327
ENSG00000152214,0,0,0,0
ENSG00000132872,0,0,0,0
ENSG00000152217,3,33,48,7
ENSG00000132874,0,0,0,0
ENSG00000141469,0,28,3,3
ENSG00000197046,0,0,4,0
ENSG00000152223,253,610,876,382
ENSG00000152229,0,0,2,2
