,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000104946,87,105,139,58,24,151,101,191,168,483,323,316,99
ENSG00000104951,1,2,4,3,0,0,4,2,5,9,5,6,5
ENSG00000213024,838,778,1206,254,8,1482,1321,1675,1688,3067,3136,2879,820
ENSG00000269179,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169136,250,240,318,60,28,142,130,174,246,794,382,348,220
ENSG00000161640,0,0,0,0,0,0,0,0,0,1,1,0,0
ENSG00000105053,182,171,248,93,9,289,215,316,372,712,525,563,210
ENSG00000142528,45,37,66,56,12,93,92,91,153,372,272,303,48
ENSG00000161652,1,0,0,0,0,0,1,1,0,1,0,0,0
ENSG00000105357,61,76,126,30,8,397,251,341,291,367,472,362,108
ENSG00000131398,2,6,9,6,3,4,4,5,7,58,19,32,2
ENSG00000131408,476,387,637,145,27,452,463,517,604,1339,962,1014,429
ENSG00000131400,3,4,0,6,4,1,2,1,4,36,10,6,2
ENSG00000062822,183,218,337,87,14,725,538,706,694,962,946,734,276
ENSG00000142539,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269404,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000086967,1,0,0,0,1,0,0,0,0,3,0,2,0
ENSG00000142530,9,10,12,4,0,14,6,11,14,39,24,26,14
ENSG00000161671,1548,1077,1522,359,29,1290,1134,1254,1230,2828,1937,2270,937
ENSG00000161677,490,528,569,196,18,319,281,335,329,1314,863,884,356
ENSG00000204653,0,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000131409,13,18,21,1,1,21,12,20,18,54,35,37,7
ENSG00000213023,8,11,12,2,0,8,16,22,14,15,17,20,11
ENSG00000235034,36,62,70,120,6,34,24,56,50,428,286,370,32
ENSG00000161681,1,2,1,0,0,1,0,0,0,11,3,9,1
ENSG00000105472,187,162,219,61,8,99,121,98,155,507,314,304,120
ENSG00000142511,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142513,0,0,0,2,0,0,0,0,0,1,0,1,0
ENSG00000167747,31,46,42,99,11,32,34,32,69,460,276,382,28
ENSG00000167748,1,0,0,0,0,0,1,0,2,2,2,2,0
ENSG00000174562,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142515,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000167751,0,0,0,0,0,0,0,0,0,1,1,1,0
ENSG00000167749,0,0,1,0,0,0,0,0,0,3,0,0,0
ENSG00000167754,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000167755,0,2,0,4,0,6,2,4,5,12,8,13,0
ENSG00000169035,0,0,0,1,0,0,2,0,1,4,1,0,0
ENSG00000129455,1,0,0,1,0,0,0,0,0,4,1,2,0
ENSG00000269741,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213022,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000129451,3,2,1,2,0,8,3,2,10,29,11,8,4
ENSG00000167757,1,0,0,0,0,1,0,0,0,1,2,1,0
ENSG00000186474,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167759,0,0,1,0,0,1,1,0,0,3,3,1,0
ENSG00000129437,0,0,0,1,0,3,0,1,0,2,2,5,0
ENSG00000142544,166,170,296,118,22,368,276,356,363,1102,1113,1294,216
ENSG00000129450,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000168995,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105383,1,0,0,0,0,0,0,0,0,1,1,1,2
ENSG00000179213,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142549,1,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000186806,94,152,151,46,5,120,132,165,172,383,216,252,119
ENSG00000105379,1534,1722,2216,345,20,2482,2686,3119,2923,3746,3368,3517,1186
ENSG00000269403,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160318,49,64,72,59,0,41,54,60,78,219,147,182,42
ENSG00000105374,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000105370,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000262874,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142512,0,0,0,0,0,0,0,0,0,6,0,0,0
ENSG00000105366,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213822,0,0,0,0,1,0,0,0,0,1,1,0,0
ENSG00000254521,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105492,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105497,14,16,25,31,6,65,50,86,118,158,148,189,32
ENSG00000105501,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268500,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254415,0,0,0,0,0,0,0,0,0,1,0,3,0
ENSG00000105509,1,0,0,0,0,0,0,2,5,10,4,6,1
ENSG00000171051,0,0,0,0,0,1,0,1,1,2,1,1,1
ENSG00000171049,0,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000187474,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161551,0,0,0,1,0,1,0,1,1,2,1,1,0
ENSG00000176024,5,2,9,11,0,18,10,19,25,53,41,63,14
ENSG00000198093,1,5,5,0,0,4,6,8,9,15,17,17,4
ENSG00000256683,17,7,21,20,1,50,35,30,77,197,163,208,30
ENSG00000197619,16,16,16,17,0,43,32,46,53,129,112,141,16
ENSG00000142556,16,27,26,23,2,37,56,50,80,153,127,206,25
ENSG00000256087,4,7,7,12,1,16,26,13,25,67,58,76,10
ENSG00000197608,86,1,0,4,0,13,5,4,9,37,30,40,3
ENSG00000204611,4,1,0,4,0,22,2,3,3,29,22,37,0
ENSG00000196267,424,6,3,6,0,4,3,3,2,13,15,12,1
ENSG00000105568,1718,1596,2548,426,47,5720,4428,6151,5444,4546,6013,5136,2034
ENSG00000196214,35,40,69,46,8,146,114,154,175,442,466,568,69
ENSG00000198464,222,202,307,97,5,328,368,338,417,840,697,834,188
ENSG00000167554,1,1,1,1,0,2,2,1,3,5,5,5,2
ENSG00000221923,5,2,7,0,0,4,7,7,3,14,14,16,8
ENSG00000167555,4,1,3,0,0,2,2,3,3,10,9,9,1
ENSG00000198633,0,2,2,0,0,1,2,3,6,9,6,6,2
ENSG00000258405,1,1,1,1,0,5,2,3,4,9,6,9,2
ENSG00000198482,0,0,3,1,0,6,5,5,6,14,15,22,2
ENSG00000167562,2,1,1,1,0,7,3,6,5,11,16,12,1
ENSG00000167766,1,2,2,0,0,3,3,4,4,6,8,10,3
ENSG00000213020,9,2,1,8,1,7,5,7,6,21,18,24,5
ENSG00000189190,2,0,1,1,0,4,2,2,3,6,7,11,2
ENSG00000198538,1,0,0,0,0,3,1,3,3,6,6,8,1
ENSG00000204604,5,2,2,4,0,9,3,4,5,22,19,30,2
ENSG00000182986,1,1,1,1,0,2,3,2,3,9,9,6,1
ENSG00000221874,0,0,1,0,0,0,1,0,1,4,2,4,1
ENSG00000180257,0,0,1,0,0,2,1,4,2,2,5,8,1
ENSG00000269526,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268964,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170949,24,10,19,11,0,65,24,33,80,174,157,189,30
ENSG00000170954,2,2,3,1,0,3,3,4,3,12,10,10,2
ENSG00000197937,1,1,3,1,0,1,3,1,5,6,2,6,1
ENSG00000197497,2,2,2,2,0,2,3,3,5,14,11,9,3
ENSG00000197928,0,2,0,0,0,2,3,0,2,1,1,4,0
ENSG00000196131,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228567,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163098,1,0,1,1,0,1,4,1,4,0,0,4,1
ENSG00000203326,556,629,685,267,11,675,751,717,839,1546,1139,1156,449
ENSG00000213799,16,7,28,15,4,82,56,72,94,158,139,223,32
ENSG00000196417,21,16,31,9,0,86,73,61,107,189,173,205,36
ENSG00000160336,16,15,22,8,0,54,31,40,40,104,83,111,24
ENSG00000198346,6,3,7,6,0,14,9,8,15,36,37,42,6
ENSG00000130844,23,21,27,27,0,83,86,119,113,288,321,322,32
ENSG00000204595,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142405,1,1,0,4,0,0,0,0,1,1,0,0,0
ENSG00000179820,2731,1818,2641,660,37,3816,4626,6220,6430,11140,9078,7136,4220
ENSG00000126583,7,11,6,3,1,23,13,16,21,99,40,34,21
ENSG00000105605,52,43,47,11,0,40,42,49,47,127,68,55,39
ENSG00000142408,7,9,10,4,3,7,5,7,15,89,26,35,9
ENSG00000130433,69,48,53,26,1,60,72,69,60,152,130,70,61
ENSG00000189068,10,4,8,8,3,4,2,4,3,49,17,25,4
ENSG00000248385,0,0,0,0,0,0,0,0,0,1,1,0,0
ENSG00000170909,4,2,1,0,1,2,2,2,4,12,6,5,2
ENSG00000170906,1285,1055,1529,684,46,766,756,928,844,3529,2364,2766,657
ENSG00000105619,112,111,151,59,7,183,151,163,189,530,428,468,98
ENSG00000105618,839,869,1181,229,53,1711,1553,1886,1790,2330,2352,1962,720
ENSG00000088038,211,167,302,112,71,629,571,709,758,1380,1463,1071,332
ENSG00000105617,98,127,163,76,4,243,204,233,317,682,839,797,128
ENSG00000167608,8,12,15,8,2,8,16,9,11,44,33,33,7
ENSG00000125505,1399,960,1343,239,10,1618,1518,1855,1616,3427,2817,2280,898
ENSG00000170892,840,964,1518,181,18,1523,1360,1541,1667,2030,2008,1946,839
ENSG00000170889,4144,4098,6110,1043,126,6432,5619,7584,7865,9672,9977,9473,3876
ENSG00000204577,0,0,0,0,0,0,0,0,0,4,1,0,0
ENSG00000244482,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000131042,1,0,0,0,0,0,0,0,0,1,2,0,1
ENSG00000105609,0,0,0,0,0,0,0,0,0,2,1,1,0
ENSG00000187116,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239961,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167613,0,1,0,0,0,0,0,0,0,2,0,0,0
ENSG00000167614,1,1,1,0,0,0,0,2,0,3,2,4,0
ENSG00000167615,124,234,245,195,58,439,318,499,552,2405,1544,985,424
ENSG00000275183,25,15,31,35,6,54,38,58,53,248,291,288,40
ENSG00000167617,0,1,0,3,0,1,0,0,0,2,3,3,2
ENSG00000167618,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104970,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000239998,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104974,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104972,0,0,0,0,0,0,0,0,0,5,0,2,0
ENSG00000186818,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000243772,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242019,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167633,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125498,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000189013,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000221957,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240403,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186431,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000189430,0,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000167634,6,8,20,1,0,60,36,64,58,47,48,57,26
ENSG00000022556,185,197,358,92,6,1032,871,1152,1156,982,1041,1114,392
ENSG00000088053,0,0,0,0,0,1,2,0,0,3,1,1,0
ENSG00000160439,115,108,145,59,6,174,142,166,138,484,432,429,66
ENSG00000131037,13,18,17,8,0,22,20,16,24,55,50,36,19
ENSG00000125503,276,327,406,166,86,199,186,206,220,1625,860,489,204
ENSG00000105048,260,267,309,125,9,304,230,244,310,735,506,543,151
ENSG00000129991,39,71,104,13,3,53,58,87,78,156,101,111,21
ENSG00000267110,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167646,10,16,20,6,1,33,22,42,37,68,56,48,15
ENSG00000129990,1,1,2,8,1,6,6,2,3,31,13,9,2
ENSG00000080031,26,17,34,41,5,32,37,34,50,232,146,123,25
ENSG00000180089,6,2,3,7,2,0,3,4,2,32,12,15,5
ENSG00000105063,773,947,1199,318,40,1268,1140,1527,1428,2837,2213,2108,714
ENSG00000133265,889,1123,1587,270,24,2257,1803,2657,2366,3061,3443,2751,1001
ENSG00000160469,12,9,16,15,5,6,9,14,16,118,76,53,15
ENSG00000180061,2,5,1,1,0,2,4,0,4,8,12,13,1
ENSG00000133247,61,54,63,39,14,44,39,36,52,441,290,236,36
ENSG00000160471,2,4,3,4,0,3,3,1,3,35,7,14,3
ENSG00000267706,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180043,0,0,0,0,0,0,0,0,0,9,4,1,0
ENSG00000095752,283,304,429,515,76,216,197,211,345,3285,2074,1950,584
ENSG00000160472,5,7,8,9,5,5,7,5,4,87,36,10,8
ENSG00000233493,215,215,247,89,10,133,142,155,164,640,402,386,127
ENSG00000108107,9855,12910,15763,3084,206,10952,10971,13037,15101,24854,21121,19498,10191
ENSG00000108106,2806,2884,3925,1107,103,2101,1890,2035,1989,6871,4420,5343,1270
ENSG00000187902,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000063241,1191,1544,1998,386,27,895,874,958,936,2924,1657,1964,853
ENSG00000197483,34,32,63,36,8,87,54,84,98,336,344,425,40
ENSG00000090971,249,312,375,89,9,300,272,296,332,973,600,584,283
ENSG00000179954,4,10,8,10,1,2,5,8,9,22,22,20,7
ENSG00000187550,25,20,22,7,0,34,21,27,27,48,47,50,18
ENSG00000231274,7,4,4,7,0,6,6,5,15,57,42,50,9
ENSG00000218891,74,96,150,126,9,266,187,317,285,708,956,941,133
ENSG00000179943,77,80,118,98,12,142,105,159,170,547,439,616,83
ENSG00000171443,92,92,126,32,6,78,75,88,112,281,174,214,80
ENSG00000261221,40,50,72,94,8,100,86,107,104,578,462,552,56
ENSG00000179922,46,46,57,24,3,67,65,85,77,226,191,183,37
ENSG00000213015,408,396,464,122,15,256,236,244,294,966,686,730,292
ENSG00000171425,144,120,165,162,14,242,176,192,222,834,933,984,107
ENSG00000173581,115,100,140,46,5,139,146,191,168,376,288,294,86
ENSG00000063244,1128,996,1624,294,91,3466,2627,3400,3074,3692,3992,4206,1408
ENSG00000063245,1050,1038,1453,254,23,1372,1258,1229,1280,2416,2106,2136,803
ENSG00000185792,0,0,0,0,0,0,0,0,0,4,0,2,0
ENSG00000223638,0,0,0,1,3,0,0,0,7,18,5,8,4
ENSG00000229292,0,0,0,1,3,0,0,0,4,14,5,7,3
ENSG00000179873,0,0,0,1,0,0,0,2,1,3,0,2,0
ENSG00000160505,0,0,0,0,0,0,1,2,1,2,2,1,0
ENSG00000173572,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000179709,0,0,0,0,0,0,0,0,0,3,1,1,0
ENSG00000171487,0,0,1,1,0,2,0,0,0,0,0,2,0
ENSG00000142409,208,226,347,131,15,473,338,388,418,1237,1085,1318,258
ENSG00000167685,110,112,146,46,1,223,181,244,219,500,496,484,124
ENSG00000197487,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000197213,1,0,0,0,0,3,1,1,2,8,4,8,1
ENSG00000204532,3,1,2,0,0,7,2,2,6,9,7,12,1
ENSG00000131848,7,9,12,6,0,33,6,19,26,68,48,57,7
ENSG00000267908,1,1,0,0,0,2,1,0,2,4,3,8,0
ENSG00000267710,1,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000018869,7,3,6,6,3,9,4,1,6,23,17,26,3
ENSG00000198440,12,4,8,14,0,22,10,8,11,40,35,62,7
ENSG00000198046,0,0,0,0,0,1,0,1,0,2,0,2,0
ENSG00000196263,1,1,0,1,0,1,1,3,0,6,4,3,2
ENSG00000196867,53,22,32,32,5,35,36,34,37,121,107,137,28
ENSG00000197016,5,4,9,4,0,10,12,9,14,30,24,36,11
ENSG00000197951,74,57,105,86,3,66,68,70,85,421,307,407,64
ENSG00000268182,0,3,0,0,0,3,0,0,2,0,0,0,0
ENSG00000127903,3,1,3,1,1,2,2,2,4,6,4,9,3
ENSG00000269699,0,0,0,1,0,0,0,0,0,1,0,1,0
ENSG00000198300,0,0,1,0,0,2,1,0,0,2,0,0,0
ENSG00000131864,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000141946,0,0,0,0,0,0,0,0,1,2,0,0,0
ENSG00000258873,0,0,0,0,0,0,0,0,1,4,1,3,1
ENSG00000083844,73,80,98,68,10,155,111,118,177,679,511,640,102
ENSG00000105146,6,2,12,0,0,16,9,14,12,30,17,21,5
ENSG00000204524,61,70,98,71,4,132,136,146,148,579,438,624,84
ENSG00000197714,192,180,296,108,10,840,654,866,917,1275,1250,1586,306
ENSG00000178229,33,26,44,34,8,94,67,81,84,316,236,306,54
ENSG00000131845,8,6,12,17,1,18,21,32,37,82,59,93,32
ENSG00000152433,0,2,2,3,2,5,3,2,5,22,18,34,4
ENSG00000256060,71,69,95,48,1,132,132,112,146,341,249,368,100
ENSG00000268133,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188785,14,7,19,7,0,17,19,34,37,59,53,66,40
ENSG00000269533,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000268533,3,11,12,3,0,6,7,6,9,23,10,17,6
ENSG00000186272,14,6,19,25,3,32,29,35,38,108,112,133,15
ENSG00000186230,43,38,53,40,3,115,92,119,148,345,273,382,74
ENSG00000268163,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000178201,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000197128,0,10,9,8,1,31,11,22,38,66,31,66,27
ENSG00000105136,15,7,16,14,0,47,26,26,46,117,92,139,28
ENSG00000268107,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152439,16,10,27,20,5,29,40,37,45,163,147,162,32
ENSG00000121406,6,8,8,3,0,24,18,24,38,87,79,104,8
ENSG00000251369,18,19,20,22,1,26,28,23,36,170,135,204,26
ENSG00000083817,18,17,18,22,4,60,31,37,39,203,157,249,20
ENSG00000171649,0,0,0,0,0,1,0,0,0,2,1,3,2
ENSG00000183647,29,25,39,8,0,32,28,39,42,129,93,108,28
ENSG00000213762,40,43,55,71,7,100,104,94,149,390,310,501,87
ENSG00000121417,15,15,29,37,5,47,40,55,38,191,153,186,24
ENSG00000180532,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000204519,26,26,47,32,5,100,89,122,151,337,325,492,56
ENSG00000269026,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179909,0,1,0,1,0,1,1,0,2,3,2,2,0
ENSG00000083814,1,3,6,2,0,9,2,10,6,40,34,37,5
ENSG00000152443,22,15,28,20,3,45,68,67,89,176,166,255,40
ENSG00000083828,31,32,47,28,3,66,47,76,94,226,241,251,44
ENSG00000178935,21,25,37,23,1,83,61,86,81,209,183,230,42
ENSG00000268750,7,48,30,50,0,47,35,74,58,228,142,110,18
ENSG00000269343,39,27,45,23,2,115,110,130,124,243,203,304,54
ENSG00000198466,21,26,37,12,1,75,59,80,97,190,133,180,35
ENSG00000204514,20,28,34,19,3,30,40,48,51,121,95,118,33
ENSG00000269476,0,1,3,0,1,1,0,2,0,2,2,5,2
ENSG00000173480,21,25,51,28,1,96,90,98,128,210,200,246,44
ENSG00000196724,3,4,1,5,0,10,4,7,7,18,21,36,4
ENSG00000152454,6,1,3,5,0,17,8,3,7,51,42,65,11
ENSG00000177025,0,0,1,0,0,0,0,0,0,3,2,0,0
ENSG00000166704,17,15,23,12,3,25,25,31,40,154,115,118,25
ENSG00000152467,0,1,1,0,0,0,0,0,1,1,1,2,1
ENSG00000176293,0,0,0,1,0,1,3,1,2,2,3,3,0
ENSG00000121413,14,16,8,1,0,32,7,14,10,65,53,56,23
ENSG00000181894,10,7,19,17,1,23,13,22,23,78,71,113,19
ENSG00000171606,125,122,168,100,12,246,199,218,356,1184,856,937,186
ENSG00000198131,23,34,32,24,8,31,43,52,59,126,86,104,36
ENSG00000269545,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278129,66,55,81,61,0,194,186,198,251,872,819,754,79
ENSG00000267216,3,2,6,16,2,2,4,4,0,67,42,30,0
ENSG00000182318,21,26,46,26,1,78,77,84,91,236,251,271,41
ENSG00000121410,36,40,41,41,2,31,14,21,7,144,89,70,18
ENSG00000174586,9,10,13,24,0,10,12,8,19,79,91,92,10
ENSG00000152475,8,7,6,8,2,14,4,6,4,58,36,42,5
ENSG00000083845,7263,7265,10620,2164,154,14980,13714,16803,17043,21335,23513,21110,7190
ENSG00000269855,0,0,0,2,4,0,0,0,0,8,4,2,0
ENSG00000171574,44,85,108,66,6,125,128,145,150,569,431,579,58
ENSG00000131849,2,4,1,2,0,2,2,4,3,17,16,22,0
ENSG00000249471,20,26,34,26,2,49,44,72,64,233,239,241,33
ENSG00000083812,38,32,50,39,8,69,51,101,98,308,329,348,40
ENSG00000083838,52,60,91,47,6,129,99,124,143,456,352,377,76
ENSG00000083807,76,107,91,77,0,123,86,122,104,546,335,334,80
ENSG00000119574,108,146,182,85,3,216,220,280,257,892,892,932,154
ENSG00000130726,2824,2787,4868,1029,206,11968,9299,13452,12603,12342,14740,12953,4239
ENSG00000130724,1095,940,1246,251,30,2380,2150,2508,2461,3044,3014,2669,909
ENSG00000130725,1504,1327,1746,626,86,1449,1394,1454,1381,4731,3048,3238,948
ENSG00000099326,41,47,55,43,11,72,71,83,96,370,256,242,62
ENSG00000273661,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276433,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278152,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276534,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276518,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274193,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274676,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277650,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273517,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273735,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275050,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278091,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278780,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000262860,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279389,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274746,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279566,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276219,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279552,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275330,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276604,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273511,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274359,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274073,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277154,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277114,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277808,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277789,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276935,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278622,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274646,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277816,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275584,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277414,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276146,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276175,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274914,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276537,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276458,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278312,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273633,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274084,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276848,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274000,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274669,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274935,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278555,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274952,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278723,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278738,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275822,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277786,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275082,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276211,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278149,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275577,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275384,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275644,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276220,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276323,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275117,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274176,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276774,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276260,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278322,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274796,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274626,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273884,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278355,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276798,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276163,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275196,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275434,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276979,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274143,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274739,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278120,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278707,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278415,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278362,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274174,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275796,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275633,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276826,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276066,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277178,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278533,0,0,0,0,0,0,0,0,0,0,0,0,0
