Geneid,AK006M,AK007M,AK008M,AK010M,AK012M,AK014M,AK016M,AK017M,AK018M,AK021M,AK019M,AK029M,AK034M,AK098M,AK102M,AK117M,AK123M,AK133M,AK134M,AK135M,AK136M,AK137M,AK138M
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0
ENSG00000279928,2,8,6,0,0,5,4,9,0,3,5,4,4,13.45,9.02,13.66,8.51,19.8,37.33,8.86,28.08,7.63,8.55
ENSG00000279457,45,490,478,37,41,326,381,471,102,457,255,560,993,512.48,779.51,380.24,545.35,713.35,1480.91,822.37,719.75,273.4,1136.07
ENSG00000278566,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.25,0.38,0.2,2.08,2.87,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.25,0.38,0.2,1.08,2.54,0,0,0
ENSG00000187634,69,1000,836,30,20,1832,436,2008,378,1147,915,610,773,1711.5,1605,1731.17,2027.5,2664.75,4193.33,1124,1776.5,503,1136
ENSG00000188976,49,735,799,52,28,2722,1147,3137,491,1144,910,840,1468,4059,2658.17,2959.83,2435.83,2224.83,4567.08,1457.33,4393,1745.33,3946.33
ENSG00000187961,9,145,162,10,7,147,35,151,26,238,139,109,179,260,463,182,287,324,609.5,217,295,75,324
ENSG00000187583,3,29,32,4,3,23,9,35,12,28,16,15,30,93,195,67,90,84.25,173,66,108,36,145
ENSG00000187642,0,0,0,0,0,4,2,0,0,14,9,3,2,3,6.5,6,14,4,20,67,4,4,1
ENSG00000188290,49,434,434,40,25,817,136,715,204,1078,734,414,804,711,1187.5,708,1417,1353,2782.25,1989,1315,362,1713
ENSG00000187608,3,52,50,1,76,98,30,127,638,3174,50,32,2100,128,119,85,3073,113,217,8275.5,171,65,9096
ENSG00000188157,138,1942,1953,203,147,3722,1193,4832,897,4030,2251,2080,2758,8503.5,8939.5,8304.5,8664.75,11296,16806.42,9448.25,12156,4037,10396
ENSG00000237330,0,2,2,0,0,0,1,1,2,8,3,5,1,0,5,5,39,12,22,60,5,2,45
ENSG00000131591,19,164,172,6,3,164,122,177,46,94,97,100,208,322.75,376.75,246.5,244,452.75,854,144,484.87,177,287
ENSG00000162571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,1
ENSG00000186891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000186827,0,1,0,0,0,1,0,0,0,1,3,1,1,2,2,0,3,1,7,13,2,1,1
ENSG00000078808,95,729,738,21,9,1808,834,2010,308,844,592,507,1010,3743,2525.17,2850.67,2155,4681.33,6328.5,782.25,5466.67,2175,2898
ENSG00000176022,12,119,119,11,9,377,61,354,66,317,269,150,131,317,474,294,420,580,1258,256,642,173,164
ENSG00000184163,0,4,6,0,3,7,2,11,0,13,5,5,6,6.5,12,9.5,16,15.5,30,23,22,8.5,5
ENSG00000160087,60,388,452,22,10,817,336,991,179,652,398,341,536,1639.33,1823.75,1207.33,1309.75,2548.25,4162.67,703.67,2608.5,946,2051.58
ENSG00000162572,0,13,9,0,0,19,4,27,7,28,20,16,25,29,67,29,46.25,69,165.5,51.75,43,19,74
ENSG00000131584,7,207,210,10,3,289,112,358,63,266,122,111,254,565,554,413,415,725.25,1039.75,284.5,754.5,230,574
ENSG00000169972,21,205,192,12,2,401,73,484,70,186,179,103,168,501,461,318,309,643,936,97,708.5,238,333
ENSG00000127054,62,801,826,42,23,1302,928,1630,252,682,546,708,1244,1697,1454.67,1494.5,1187.5,1657,3044.5,772.5,2270.3,799,2162.42
ENSG00000224051,11,181,159,4,0,218,134,224,27,123,112,145,160,432,533,355,364,606,1167,132,611.5,222,248
ENSG00000169962,0,2,4,2,1,3,0,4,0,7,7,4,5,5,5,9,8,14,20,28,10,5,11
ENSG00000107404,82,802,830,29,18,1503,394,1590,263,986,684,631,820,2515,3037.5,1622,1746,3136.5,5391.5,775.5,3815,1148,1697.75
ENSG00000162576,1,3,0,2,2,0,0,0,0,2,1,0,0,1,1,1,8,3.25,16,11,5,1,1
ENSG00000175756,149,918,999,41,17,1983,637,2419,333,1109,887,643,767,3277,2793,2359,2301.5,4753.5,7055.5,943,5011.17,2092,2688
ENSG00000221978,60,690,691,70,41,672,258,1115,111,1201,575,481,745,1251.5,2535.5,1122,1548.75,2421.5,4697.5,2557.75,1942.5,693,1557
ENSG00000242485,250,884,914,52,21,2206,916,2212,348,1170,867,571,934,2190.33,1937,1806,1411,3559,4831,876.5,3367,1525,1955
ENSG00000235098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,1
ENSG00000205116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
ENSG00000179403,5,70,104,2,1,483,57,544,97,138,149,64,106,336,222,300,328.52,575.52,764,37,658,222,278
ENSG00000215915,1,27,36,1,0,28,37,51,5,14,12,29,46,93.07,85.19,67.32,64.62,71.42,139.47,22.17,108.27,41.92,71.95
ENSG00000160072,3,88,79,2,1,143,109,232,34,76,60,83,165,322.56,220.73,208.08,173.7,253.11,473.53,72.42,403.85,148.29,284.89
ENSG00000197785,18,325,361,20,7,783,393,804,141,400,272,288,562,1240.52,1018.48,898.58,770.9,1041.18,1919.72,305.08,1546.97,599.79,1068.14
ENSG00000205090,0,2,3,0,0,0,2,3,0,6,3,2,4,3,8,2,6,12,19,14,10,2,4
ENSG00000160075,246,1638,1700,58,22,1516,1501,2180,259,1420,623,952,1416,4412.5,3986.5,3765.5,2933,7627,9617.25,1401.5,7713,3081,3968
ENSG00000279244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
ENSG00000228594,13,135,121,3,0,62,31,84,10,34,17,43,57,133,93,86,61,241,230,11.08,288,90,81
ENSG00000197530,20,202,215,10,8,246,115,340,54,226,145,159,301,514,516,395,453.5,657.67,1120.5,520.5,725.5,203,554
ENSG00000189409,0,1,4,0,0,2,0,6,0,6,6,1,8,3.5,9,7.5,6,9.5,25.67,13,6,1.5,7
ENSG00000248333,37,188,185,41,32,152,166,229,68,354,138,205,247,778.98,877.84,694.8,678.24,862.76,1753.2,1258.6,1157.59,437.79,1454.86
ENSG00000189339,17,91,78,8,12,200,50,210,32,184,77,55,69,299.65,343,289.48,264.08,554.99,755.15,214.28,495.33,147.5,293.57
ENSG00000008128,26,159,152,23,16,103,99,180,45,253,95,212,177,600.68,773.98,443.36,577.91,631.48,1360.05,1153.51,831.9,333.21,1216.93
ENSG00000215790,11,98,85,8,3,142,50,174,30,130,69,47,83,248.68,289.49,207.86,183.92,428.67,547.44,133.15,391.33,123,234.97
ENSG00000008130,51,544,618,21,14,913,354,1049,147,686,426,446,607,1731.5,1775.33,1251.5,1200.5,2409.5,3288.5,746,2361.5,812,1349
ENSG00000078369,382,1985,2094,90,38,2632,2220,3027,467,1702,766,1116,1986,8215.47,5649.47,7057.33,4511.27,11853.6,13038.1,1450,11991.83,5018.93,7597.83
ENSG00000169885,0,2,3,0,0,0,2,0,0,2,1,2,3,0,3,0,1,1,4,1,9,4,0
ENSG00000178821,0,24,21,1,0,13,14,29,3,11,6,14,10,38,32,14,13,40,66,13,48,17,27
ENSG00000142609,0,2,1,0,1,3,1,1,0,4,0,1,1,4,6,3,2,16,11,13,2,0,3
ENSG00000187730,0,2,5,0,0,14,1,25,1,7,2,2,3,23,12,14,12,28,43,5,23,3,10
ENSG00000067606,13,212,216,7,5,325,251,372,58,117,88,127,428,727,484.5,476.5,348,660.83,955,110.5,801.67,331,636.5
ENSG00000162585,41,329,322,13,8,213,200,254,38,189,96,188,264,1191.67,1245.67,848,784.67,2025.83,2848.83,354,2077.5,611,927.67
ENSG00000157933,29,201,244,27,13,234,141,377,46,353,190,278,190,1515,1862,1499,1764,2140,4521.5,1107,2892.5,918,1489.5
ENSG00000116151,17,107,123,11,6,131,120,195,24,128,94,82,162,297,293,186.5,203.5,411.5,722,205,438,150,340
ENSG00000157916,144,630,608,33,6,2198,764,2152,349,880,710,347,659,2594,1822.5,2069.17,1508.5,3605.67,4688.83,593.33,3740.5,1405.5,2097
ENSG00000157911,10,170,191,7,3,485,115,546,80,244,211,112,196,560,500,394,404,843.33,1122.5,147,935.17,246,409
ENSG00000149527,1,9,15,1,1,14,10,28,3,14,10,10,19,28,33,15,20,44,93,26,63,22,58
ENSG00000157881,18,144,180,17,14,294,152,288,70,297,171,196,284,433,527.75,326,435,390,1081,476,528.25,179,785.25
ENSG00000197921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157873,0,1,2,0,0,2,0,3,0,2,0,0,0,0,1,1,3,4,9,1,4,0,5
ENSG00000157870,6,46,54,1,2,144,24,157,20,50,53,29,70,282,225,200,193,369.67,512.5,27,394.17,139,163
ENSG00000142606,19,0,0,6,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0.25,0,0.25,0,1.25
ENSG00000215912,0,3,2,0,0,1,0,1,0,4,2,1,2,5,15,4,1,7,19,6.5,8,2,2
ENSG00000169717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142611,1,8,4,0,0,3,4,4,2,8,6,10,2,35,24,13,14,33,49,9,21,11,15
ENSG00000130762,5,91,91,2,2,125,79,262,48,67,48,52,112,224,170,185,144,233.5,354,34,406,179,384
ENSG00000162591,3,77,71,7,0,131,28,232,35,102,63,54,115,230,285,151,136,271,476,100,528,199,482
ENSG00000158109,8,53,73,10,0,83,60,101,11,90,33,51,40,517.2,421,400,340,731.5,1233,170,881,359,279
ENSG00000116213,21,187,204,10,2,378,206,536,60,300,159,156,251,716,816.5,675.5,580,993,1857,239,1151.5,405,744
ENSG00000078900,0,6,3,0,1,6,9,8,1,4,4,4,16,28,8,30,11,24,41,3,22,8,11
ENSG00000162592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
ENSG00000235169,0,10,11,0,0,14,0,8,5,5,4,3,8,17,11,10,7,22,30,2,22,6,3
ENSG00000130764,38,370,400,16,5,892,395,1344,236,515,435,361,660,1625,1371.5,1389,1560,1685.5,3167,664,2235.5,832,1784
ENSG00000116198,41,356,382,26,8,383,363,594,56,405,183,270,360,1421,1258,1242.5,907,1823,2790.5,526,2276.5,833,1270.5
ENSG00000169598,1,39,47,3,0,103,46,154,22,59,45,26,54,119.5,109,106,84.5,206,361.5,28,235,74,160
ENSG00000198912,107,536,574,34,8,589,574,750,76,541,306,393,524,1074,1385,875,895.5,1718,3301.5,484,1861,727,1025.5
ENSG00000196581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0
ENSG00000131697,14,156,154,10,6,187,98,244,37,259,114,165,189,501,620.5,412,414,649,1252.5,276,726,251.5,743
ENSG00000069424,6,146,164,6,2,169,135,327,69,67,47,32,101,326.67,194.5,361,211,924.5,1365.5,110.67,2041,714.17,1259
ENSG00000116254,4,11,14,1,0,18,6,21,2,19,9,9,11,68,65,37,63.5,52.67,107.17,38.5,54,35,50
ENSG00000116251,987,2587,2859,166,33,4779,2617,4561,667,2447,1880,1345,2452,5923.86,4612.27,4655.44,3298.48,9818.71,11314.45,1862.01,10374.91,5289.25,6109.16
ENSG00000158286,16,194,188,14,9,181,66,295,45,280,163,140,284,302,603,284,351,413,794,390,428,153,563
ENSG00000116237,151,583,648,29,4,2016,470,2018,297,813,698,287,478,2026.67,1660,1493,1070.17,3184.5,3795.67,339,3209,1200,1348.5
ENSG00000173673,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
ENSG00000158292,3,29,20,0,0,51,5,51,4,10,12,12,18,48,72,41,38,76,90,10,79,21,30.14
ENSG00000097021,24,240,242,6,4,473,268,695,79,234,131,200,307,2546.17,1426,2191,1503.83,2439.5,2968.5,322,3148.25,1295.5,2545.67
ENSG00000069812,4,10,8,1,2,18,12,25,1,19,4,7,11,31,40,27,19,55,100.17,11,54,22,21
ENSG00000187017,0,0,0,1,1,1,0,4,0,4,1,3,0,11.33,6,4,11,16,27,41,1,2,6
ENSG00000215788,1,14,21,0,1,6,5,16,0,18,9,19,25,24,40,7,15,8.5,42.5,14,23,9,7
ENSG00000171680,5,71,57,3,3,42,35,91,13,70,34,53,136,113,204,105,105,121,229,85,174,46,154
ENSG00000162408,38,268,277,49,22,801,440,1026,195,482,383,352,508,1158,1185,1046,989,995.5,2302,749,1560,594,1637
ENSG00000173662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,2
ENSG00000204859,11,130,130,18,18,272,93,273,100,444,268,241,324,335,612,234,482,375,1079,625,470.5,153,790.5
ENSG00000162413,4,113,130,18,6,342,70,396,64,278,231,199,151,356,623,355.5,486,370.5,1387.5,347,492,182,387
ENSG00000116273,7,32,28,6,5,122,34,108,12,136,78,63,44,305,486,258,352,333,928,156,430.5,134,174
ENSG00000041988,16,139,164,12,5,314,98,351,45,292,180,184,200,390,638.5,305.5,464,507,1405.5,369.5,606,201,523.5
ENSG00000007923,70,466,468,36,18,1171,628,1306,202,645,432,394,630,2613,1936.33,2238.5,1682,2591.5,4673,839.5,3677,1524,3079.5
ENSG00000171735,134,455,466,30,9,510,481,526,76,353,210,208,432,1530.58,1361.08,1144.5,850.33,2664.98,3192.5,497.08,2505.67,1053.75,1362.75
ENSG00000049245,128,353,365,20,4,791,426,874,135,404,301,174,361,1596.33,1330.5,1377,941.5,2600,3145,478.5,2569.5,1074.5,1300.5
ENSG00000049246,10,110,89,9,2,95,96,112,10,100,57,138,110,199,305,198,178,539,1271.5,283.5,549.5,194,354
ENSG00000049247,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0
ENSG00000049249,1,10,11,2,5,44,23,55,29,61,19,10,128,53,67,45,104,64,124,330,98,46,618
ENSG00000116288,268,1622,1859,34,7,3642,2138,4508,566,1514,1105,790,1684,6441.75,4092,5286.12,3598.92,9128.38,10076.5,992.75,9300.13,4001.17,5388.25
ENSG00000116285,300,1213,1237,174,107,2169,1270,2145,456,2727,1496,1587,1361,3546,4751.5,3644,4878,6414,13530.5,5227,7244,2865,7538.5
ENSG00000162426,3,82,74,5,0,117,94,124,22,59,36,76,71,185,111,249.5,194,313,454,88.5,313.5,134,201
ENSG00000142599,72,488,502,90,48,315,421,389,78,438,216,574,472,2455.83,3064.92,2463,2443,3391.58,6738.75,1815.17,4303.5,1503.33,4526.33
ENSG00000074800,1142,6791,7318,434,126,39298,9122,37388,10127,11304,13302,5466,12453,36604.33,22407.25,32709,24080.58,27123.83,37849.08,6546.83,40902.83,21253.67,40205
ENSG00000131686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000197241,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,1,2,4,7,3,3,3,1
ENSG00000142583,0,1,1,0,0,1,0,2,0,0,0,0,2,0,5.25,2,6,1,6,3,4,7,2
ENSG00000180758,4,51,36,3,0,115,24,136,16,141,104,52,50,138,302,123,209,257,664,120,220,71,112
ENSG00000049239,18,206,212,5,1,426,207,576,88,178,125,104,314,626,550.5,740,566,1239.5,1714.5,225,1254,429,714
ENSG00000171621,26,264,323,18,3,314,190,417,70,391,163,303,388,727,1196,584,862,1184,2909,528,1357,474,961
ENSG00000171612,28,124,140,22,6,512,137,415,80,411,384,146,161,467.33,719.17,359.83,387,839,1670.17,370.17,798.67,317.33,549.67
ENSG00000188807,15,204,194,16,9,214,165,295,40,183,143,263,208,693,912.5,584,677.5,881,2118,282,1034,392,667
ENSG00000171608,10,124,125,11,10,182,114,238,55,141,90,113,341,397,544,302,363,457,772,215,686,217.5,606
ENSG00000171603,53,559,503,37,30,1397,958,1702,238,826,500,592,924,5252,3286.5,4239.5,2785.5,3532,6702,897.5,5130,2044,3950
ENSG00000280113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178585,12,138,122,2,0,175,58,173,22,81,56,54,79,252.5,214,166.5,150.5,459.5,503.5,55,429.5,138,172
ENSG00000162441,74,150,189,12,0,630,225,564,112,366,253,124,210,881,728.5,699.5,522.5,1569.5,2162.5,379.5,1615,598,940
ENSG00000173614,7,60,72,0,0,114,106,127,28,60,45,56,125,178.5,140.5,128.5,101,170,335,81,239,92.33,221
ENSG00000162444,4,35,31,0,1,13,35,40,3,10,8,7,40,32.5,31,38,27,86,134,6,157,68,83
ENSG00000130939,64,510,484,24,8,829,572,1090,133,446,290,326,478,1493.17,1215.5,1456,1035,2091,3080.83,545,2902,1115,1732.5
ENSG00000054523,64,444,383,46,19,762,554,1020,98,697,450,472,485,2005,1928.5,2201.25,1654,2286,4181.92,856.5,2730.5,1085,1609
ENSG00000142657,739,7788,7954,268,83,10330,11541,19307,3608,5819,3465,5561,10303,24150.83,14673.5,24104,17108.5,23406.17,34364,5374,32586.17,16600.27,30585
ENSG00000251503,65,195,221,12,1,388,184,381,40,197,144,95,148,538.83,431.37,365.75,264.17,921.62,1051.67,161.33,964.83,370,509.95
ENSG00000175279,57,132,167,10,1,337,146,338,35,162,129,69,96,467.33,369.37,319.25,219.67,813.25,900.67,120.33,821.33,321.5,445.35
ENSG00000241563,6,38,36,2,0,29,24,40,2,19,11,10,27,48.83,40.5,33.17,28.17,79.12,121.17,18.33,101.83,32.5,52.2
ENSG00000160049,69,733,853,25,5,1079,968,1023,128,376,345,449,858,1749,1186,1281,858,2094.5,2849.5,279,2446.5,961.5,1449.67
ENSG00000142655,17,207,198,9,1,343,285,379,71,170,116,157,334,652.5,533,496,449,693,1285,165,1058,354,812
ENSG00000130940,13,109,101,13,12,84,67,105,19,131,57,127,101,271,424.5,203,262,234,552,283,309.5,85,264.5
ENSG00000175262,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,3
ENSG00000120948,40,258,292,30,22,504,417,629,96,743,259,289,346,3621.37,2779.17,2932.37,2405.87,3391.25,5396.95,2604.54,4717.46,1960.67,3373.17
ENSG00000277726,29,157,175,16,12,330,253,436,60,528,214,195,212,1854.46,1581.5,1555.12,1376.21,1752.75,2805.7,1747.29,2428.12,995.33,1691.25
ENSG00000009724,5,3,4,16,15,2,0,5,0,2,6,8,3,1,9,5,8,8,21,9,2,0,2
ENSG00000116649,256,1217,1386,67,18,1089,652,1284,162,1053,566,782,754,5124,5170.17,4054.67,3350,7367,10371,1021,7725.83,2929.17,3240.5
ENSG00000171824,83,817,941,65,38,1709,1145,2245,420,1063,790,826,1496,2374.5,2113,1969.5,1569,1872.5,4125.17,1566,2935,1159.5,3964
ENSG00000198793,100,1029,1030,68,38,1784,1058,2421,345,1517,918,1006,1272,2801.5,3227,2548,2036.5,3551.5,6286,1854.5,4339,1481,3395.5
ENSG00000171819,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000120942,52,347,327,24,15,374,366,433,54,322,192,293,366,1009,1273.5,803,855,1408,2822,606,1817,671,1174.5
ENSG00000204624,0,2,2,0,1,5,2,4,1,7,2,3,5,8.5,1,5,18.5,8.5,13,88,9.25,0,23
ENSG00000116661,1,22,20,0,0,59,33,39,5,15,13,10,36,81,55,98,87,137,181,13,133,36,77
ENSG00000132879,11,169,179,7,1,282,106,288,44,182,100,133,180,371.75,446.75,352.75,305,602.25,964.25,183.25,677.25,222.5,374.5
ENSG00000116663,8,86,85,7,5,248,92,226,50,116,66,92,159,256.25,202.25,189.75,185.5,339.25,564.25,107.25,327.75,120.5,248.5
ENSG00000116670,86,612,648,13,4,948,467,992,125,408,332,279,477,1119,940,918.17,553.5,1826.17,2306.5,198,1735.83,622.5,904.17
ENSG00000162490,0,0,0,0,0,0,0,1,0,0,0,1,5,1,2,5,5,4,5,2,7,4,6
ENSG00000177674,97,584,608,9,4,800,342,889,138,359,246,240,584,1243,871,979.5,714.5,1760,2140.5,133,2039.75,767,898
ENSG00000215910,1,0,1,4,3,2,1,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,2
ENSG00000177000,2,68,47,7,2,92,73,128,20,160,77,116,112,185,260.5,151,246,232,544,457,290,102,407
ENSG00000011021,10,117,133,20,11,112,93,155,39,176,84,188,238,276,400.5,223,294.5,368,1016,523.17,487,164,826.5
ENSG00000175206,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120937,0,1,1,0,2,0,0,0,0,12,5,4,6,1,17,1,25,1,10,37,3,0,9
ENSG00000116685,136,1242,1234,53,24,1573,884,2090,314,984,650,871,1213,2463.83,2278.67,2081.33,1920,3908.17,5824.33,805.67,3964.17,1426.5,1859.67
ENSG00000083444,87,803,785,30,12,1699,1151,1980,274,710,488,638,1300,3631.67,1929,2739.67,1776.67,2937,4849.33,387.5,5119,1767.5,3169.5
ENSG00000116688,50,464,487,33,20,1341,573,1670,268,751,502,522,774,2254,1818.5,1895,1615,1919,3620,1021,2998,1132.5,2321.5
ENSG00000116691,28,324,351,6,5,327,188,414,67,228,188,209,337,506,559,362,330,589,890.5,204,624.5,220,398
ENSG00000120949,0,0,2,0,0,1,1,2,0,1,0,2,6,1,7,3,4,4,8,14,3,0,11
ENSG00000028137,0,0,3,0,0,5,1,4,0,7,1,3,1,6,2,2,5,9,11,14,12,4,33
ENSG00000048707,59,698,713,53,22,1316,810,1924,280,1289,804,658,780,1960.5,2883.5,2288.5,2154.67,2417.5,6008.5,1960,2630.67,977,1579.67
ENSG00000162496,64,1032,917,15,2,1431,1114,1901,349,582,394,430,1448,2439.25,1535.33,2443.92,1708.92,3227.87,4249.42,418.5,3472.17,1268.5,2264.83
ENSG00000204518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
ENSG00000116726,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1.33,0,2.2,0,3,0,0,0
ENSG00000116721,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0.2,2.25,0,0.33,7.53,0,0,4.42
ENSG00000239810,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0,0,0.73,0.37,0,1.02,0,0.12,0.3
ENSG00000279195,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0,0,0.73,0.37,0,1.02,0,0.12,0.3
ENSG00000179172,1,2,4,0,0,1,16,12,0,0,0,3,9,34.41,14.87,31.02,13.86,19.3,29.51,8.85,33,13.97,48.64
ENSG00000120952,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,9.7,0,0,0.25
ENSG00000243073,0,0,1,0,0,0,0,0,0,1,0,1,1,0.33,1,0.25,0,0.67,1,6.73,0,0.25,0.97
ENSG00000187545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0
ENSG00000204510,0,0,1,0,0,0,0,0,0,2,1,0,1,0.5,0.5,0.33,0.5,0,1,4.5,0.5,0,2
ENSG00000232423,0,0,0,0,0,0,0,0,0,0,0,0,3,0.58,0.5,0,0.96,0,0,4.02,0,0.25,1.68
ENSG00000274764,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0.12,1.96,0,0,5.12,0,0,3.01
ENSG00000280267,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0.12,1.62,0,0,6,0,0,2.43
ENSG00000229571,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0,0,0.62,0,0,6.2,0,0,2.43
ENSG00000277058,1,0,2,0,0,0,4,2,0,1,0,2,3,11.15,4.95,8.34,3.68,6.6,9.25,3.13,11.71,6.23,16.89
ENSG00000275774,2,3,5,0,0,1,12,8,0,0,1,4,7,29.93,12.9,25.83,11.6,15.33,25.65,10.42,29.66,13.98,47.79
ENSG00000179412,0,1,3,0,0,1,5,3,0,1,1,2,4,11.15,4.95,8.84,3.68,6.6,9.58,5.13,11.71,6.23,17.39
ENSG00000204505,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0,0.25,1.96,0,0,4.66,0,0,2.85
ENSG00000279804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270601,0,0,0,0,0,0,0,0,0,0,0,1,2,0.58,0.5,0,1.46,0,0,3.72,0,0.25,2.68
ENSG00000182330,0,0,0,0,0,0,1,0,0,0,0,1,2,0.5,0.5,0.33,0.5,0,1,2.5,1.5,0,2
ENSG00000204501,0,0,0,0,0,0,0,0,0,1,0,0,1,0.25,0,0.25,1.46,0.58,1,10.17,0,0,4.35
ENSG00000204481,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0.2,2.25,0.2,0.53,11.2,0,0,1.5
ENSG00000204480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204479,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.25,0,0,0
ENSG00000204478,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
ENSG00000162494,0,0,0,0,0,0,0,0,1,4,0,0,2,0,1,1,3,1,2,4,0,0,4
ENSG00000162493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000116731,204,754,842,101,56,530,716,778,117,890,387,619,678,2539.5,3812,2592,2662,4781.5,9065.81,3037.3,5600,2084,3910.3
ENSG00000189337,6,73,63,3,0,58,53,51,3,53,32,53,39,196.5,256.5,199,189,369,886.5,67,441,151,246
ENSG00000171729,42,606,613,18,10,487,666,706,124,312,265,530,984,1306,1397,941,1171,1532,3316.4,581,2314,868,1770
ENSG00000204464,0,0,1,1,3,0,0,0,0,1,0,2,1,1,0,0,0,0,1,15,0,0,0
ENSG00000142621,2,25,27,2,0,34,41,56,5,32,12,24,48,26,44.2,27,37,78,102.11,77,86,32,105
ENSG00000142634,150,1786,1996,38,17,2100,1753,2171,421,975,746,912,2070,3527.83,2892,2918,2619.5,5163.5,6965.17,878.5,8324,3375.5,4736
ENSG00000162438,1,0,1,0,0,0,0,1,1,5,2,0,1,0,0,0,4,1,12,8,3,1,1
ENSG00000142615,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215704,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132906,11,65,85,7,5,283,95,311,58,100,92,54,188,369.67,289,352,356,382,588,216,456,142,510.5
ENSG00000116138,54,195,196,29,19,438,274,534,100,493,297,251,259,780.5,1182.17,847.5,836,1063,2623.67,715.5,1369,526.5,1228
ENSG00000116771,23,186,184,8,4,478,210,610,83,129,128,77,221,512,320,582,367.5,671.5,931.5,60,742,241,336
ENSG00000197312,14,124,130,16,8,300,166,426,56,318,180,162,118,569,800.5,529,635,786.75,1833.5,410.5,891.67,329,538
ENSG00000215695,46,366,425,77,28,452,529,636,73,545,353,678,395,917.5,1554.5,999,1048,1191.75,3496,824.5,1405.5,596,869.5
ENSG00000116786,75,865,827,40,34,882,618,1093,150,787,354,525,911,2396.5,2163.67,1886,1674,3358.5,4627.42,1298.67,3734,1309.75,2654.5
ENSG00000162461,0,3,0,0,0,2,0,5,0,10,6,3,3,2,7,1,12,2,8.25,16,3,0.25,2
ENSG00000162460,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,0,2,2,5,0,0,0,1
