PAK1,p21 protein (Cdc42/Rac)-activated kinase 1
PDCD1,programmed cell death 1
PDCD1LG2,programmed cell death 1 ligand 2
PDGFA,platelet-derived growth factor alpha polypeptide
PDGFB,platelet-derived growth factor beta polypeptide
PEBP4,phosphatidylethanolamine-binding protein 4
PES1,pescadillo ribosomal biogenesis factor 1
PF4,platelet factor 4
PGR,progesterone receptor
PHLPP1,PH domain and leucine rich repeat protein phosphatase 1
PHLPP2,PH domain and leucine rich repeat protein phosphatase 2
PIAS1,"protein inhibitor of activated STAT, 1"
PIGR,polymeric immunoglobulin receptor
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha"
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma"
PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
PLA2G4A,"phospholipase A2, group IVA (cytosolic, calcium-dependent)"
PLAU,"plasminogen activator, urokinase"
PLK3,polo-like kinase 3
PLSCR1,phospholipid scramblase 1
PPP2CA,"protein phosphatase 2, catalytic subunit, alpha isozyme"
PRAM1,PML-RARA regulated adaptor molecule 1
PRKAB1,"protein kinase, AMP-activated, beta 1 non-catalytic subunit"
PRKACA,"protein kinase, cAMP-dependent, catalytic, alpha"
PRKCA,"protein kinase C, alpha"
PRKCB,"protein kinase C, beta"
PRKCD,"protein kinase C, delta"
PRKCE,"protein kinase C, epsilon"
PRKCH,"protein kinase C, eta"
PRKD1,protein kinase D1
PRKG2,"protein kinase, cGMP-dependent, type II"
PROCR,"protein C receptor, endothelial"
PTEN,phosphatase and tensin homolog
PTGIR,prostaglandin I2 (prostacyclin) receptor (IP)
PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
PTH,parathyroid hormone
PTK2,protein tyrosine kinase 2
PTK2B,protein tyrosine kinase 2 beta
PTPN2,"protein tyrosine phosphatase, non-receptor type 2"
PTPN6,"protein tyrosine phosphatase, non-receptor type 6"
PTTG1,pituitary tumor-transforming 1
PXN,paxillin
RAC1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
RALA,v-ral simian leukemia viral oncogene homolog A (ras related)
RAP1A,"RAP1A, member of RAS oncogene family"
RAP2A,"RAP2A, member of RAS oncogene family"
RAPGEF3,Rap guanine nucleotide exchange factor (GEF) 3
RARA,"retinoic acid receptor, alpha"
RARB,"retinoic acid receptor, beta"
RASSF1,Ras association (RalGDS/AF-6) domain family member 1
RECK,reversion-inducing-cysteine-rich protein with kazal motifs
RELA,v-rel avian reticuloendotheliosis viral oncogene homolog A
RELB,v-rel avian reticuloendotheliosis viral oncogene homolog B
RETN,resistin
RFX1,"regulatory factor X, 1 (influences HLA class II expression)"
RHOA,ras homolog family member A
RHOB,ras homolog family member B
RHOU,ras homolog family member U
RIPK3,receptor-interacting serine-threonine kinase 3
RNASEL,"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)"
ROCK1,"Rho-associated, coiled-coil containing protein kinase 1"
RPTOR,"regulatory associated protein of MTOR, complex 1"
SAA1,serum amyloid A1
SELE,selectin E
SEPT9,septin 9
SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
SERPINF1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
SESN2,sestrin 2
SFRP1,secreted frizzled-related protein 1
SFRP5,secreted frizzled-related protein 5
SFTPC,surfactant protein C
SH3BP5,SH3-domain binding protein 5 (BTK-associated)
SH3RF1,SH3 domain containing ring finger 1
SHBG,sex hormone-binding globulin
SHC1,SHC (Src homology 2 domain containing) transforming protein 1
SIAH1,siah E3 ubiquitin protein ligase 1
SIRT1,sirtuin 1
SMAD1,SMAD family member 1
SMAD3,SMAD family member 3
SMPD1,"sphingomyelin phosphodiesterase 1, acid lysosomal"
SMPD2,"sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)"
SMTNL2,smoothelin-like 2
SNAI2,snail family zinc finger 2
SOCS3,suppressor of cytokine signaling 3
SOD1,"superoxide dismutase 1, soluble"
SOD2,"superoxide dismutase 2, mitochondrial"
SP1,Sp1 transcription factor
SPAG9,sperm associated antigen 9
SPOP,speckle-type POZ protein
SPP1,secreted phosphoprotein 1
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
SREBF1,sterol regulatory element binding transcription factor 1
SSTR2,somatostatin receptor 2
STAT1,"signal transducer and activator of transcription 1, 91kDa"
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor)
STAT6,"signal transducer and activator of transcription 6, interleukin-4 induced"
STK24,serine/threonine kinase 24
STMN1,stathmin 1
STMN2,stathmin 2
STMN3,stathmin-like 3
SUMO1,small ubiquitin-like modifier 1
SYK,spleen tyrosine kinase
TAOK2,TAO kinase 2
TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box)"
TEK,"TEK tyrosine kinase, endothelial"
TFAP4,transcription factor AP-4 (activating enhancer binding protein 4)
TFPI,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
TGFB1,"transforming growth factor, beta 1"
TGM2,transglutaminase 2
THBD,thrombomodulin
THBS1,thrombospondin 1
TLR2,toll-like receptor 2
TLR4,toll-like receptor 4
TMEM8B,transmembrane protein 8B
TMSB10,thymosin beta 10
TNF,tumor necrosis factor
TNFAIP3,"tumor necrosis factor, alpha-induced protein 3"
TNFRSF10A,"tumor necrosis factor receptor superfamily, member 10a"
TNFRSF10B,"tumor necrosis factor receptor superfamily, member 10b"
TNFRSF1B,"tumor necrosis factor receptor superfamily, member 1B"
TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10"
TNFSF13B,"tumor necrosis factor (ligand) superfamily, member 13b"
TNFSF14,"tumor necrosis factor (ligand) superfamily, member 14"
TNIK,TRAF2 and NCK interacting kinase
TNN,tenascin N
TP53,tumor protein p53
TRAF2,TNF receptor-associated factor 2
TRAF3,TNF receptor-associated factor 3
TRAF3IP3,TRAF3 interacting protein 3
TRAF4,TNF receptor-associated factor 4
TRAF6,"TNF receptor-associated factor 6, E3 ubiquitin protein ligase"
TRAF7,"TNF receptor-associated factor 7, E3 ubiquitin protein ligase"
TRAP1,TNF receptor-associated protein 1
TRIO,trio Rho guanine nucleotide exchange factor
TSLP,thymic stromal lymphopoietin
TTK,TTK protein kinase
TWIST1,twist family bHLH transcription factor 1
TYROBP,TYRO protein tyrosine kinase binding protein
UBE2N,ubiquitin-conjugating enzyme E2N
VCAM1,vascular cell adhesion molecule 1
VEGFA,vascular endothelial growth factor A
VHL,"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase"
VRK1,vaccinia related kinase 1
VRK2,vaccinia related kinase 2
WASF1,"WAS protein family, member 1"
WDR62,WD repeat domain 62
WISP1,WNT1 inducible signaling pathway protein 1
WNT5A,"wingless-type MMTV integration site family, member 5A"
WWOX,WW domain containing oxidoreductase
XBP1,X-box binding protein 1
YAP1,Yes-associated protein 1
ZAK,sterile alpha motif and leucine zipper containing kinase AZK
ZBTB17,zinc finger and BTB domain containing 17
ZDHHC17,"zinc finger, DHHC-type containing 17"
ZFP36,ZFP36 ring finger protein
ZMYND11,"zinc finger, MYND-type containing 11"
ZNF148,zinc finger protein 148
